Metric,Value
Initial_portfolio_value,100000
Final_portfolio_value,147013.77
Final_portfolio_growth_percent,47.01
SharpeRatio_sharperatio,0.9943
Drawdown_len,11
Drawdown_drawdown,0.3834
Drawdown_moneydown,565.8
Drawdown_max_len,254
Drawdown_max_drawdown,10.5354
Drawdown_max_moneydown,10727.4784
Trades_total_total,20
Trades_total_open,1
Trades_total_closed,19
Trades_streak_won_current,4
Trades_streak_won_longest,4
Trades_streak_lost_current,0
Trades_streak_lost_longest,2
Trades_pnl_gross_total,48721.1
Trades_pnl_gross_average,2564.2684
Trades_pnl_net_total,46378.3631
Trades_pnl_net_average,2440.9665
Trades_won_total,12
Trades_won_pnl_total,76900.6635
Trades_won_pnl_average,6408.3886
Trades_won_pnl_max,9834.9694
Trades_lost_total,7
Trades_lost_pnl_total,-30522.3004
Trades_lost_pnl_average,-4360.3286
Trades_lost_pnl_max,-7288.3822
Trades_long_total,19
Trades_long_pnl_total,46378.3631
Trades_long_pnl_average,2440.9665
Trades_long_pnl_won_total,76900.6635
Trades_long_pnl_won_average,6408.3886
Trades_long_pnl_won_max,9834.9694
Trades_long_pnl_lost_total,-30522.3004
Trades_long_pnl_lost_average,-4360.3286
Trades_long_pnl_lost_max,-7288.3822
Trades_long_won,12
Trades_long_lost,7
Trades_short_total,0
Trades_short_pnl_total,0.0
Trades_short_pnl_average,0.0
Trades_short_pnl_won_total,0.0
Trades_short_pnl_won_average,0.0
Trades_short_pnl_won_max,0.0
Trades_short_pnl_lost_total,0.0
Trades_short_pnl_lost_average,0.0
Trades_short_pnl_lost_max,0.0
Trades_short_won,0
Trades_short_lost,0
Trades_len_total,223
Trades_len_average,11.7368
Trades_len_max,44
Trades_len_min,2
Trades_len_won_total,137
Trades_len_won_average,11.4167
Trades_len_won_max,44
Trades_len_won_min,2
Trades_len_lost_total,86
Trades_len_lost_average,12.2857
Trades_len_lost_max,34
Trades_len_lost_min,2
Trades_len_long_total,223
Trades_len_long_average,11.7368
Trades_len_long_max,44
Trades_len_long_min,2
Trades_len_long_won_total,137
Trades_len_long_won_average,11.4167
Trades_len_long_won_max,44
Trades_len_long_won_min,2
Trades_len_long_lost_total,86
Trades_len_long_lost_average,12.2857
Trades_len_long_lost_max,34
Trades_len_long_lost_min,2
Trades_len_short_total,0
Trades_len_short_average,0.0
Trades_len_short_max,0
Trades_len_short_min,9223372036854775807
Trades_len_short_won_total,0
Trades_len_short_won_average,0.0
Trades_len_short_won_max,0
Trades_len_short_won_min,9223372036854775807
Trades_len_short_lost_total,0
Trades_len_short_lost_average,0.0
Trades_len_short_lost_max,0
Trades_len_short_lost_min,9223372036854775807
Trades_win_rate_percent,63.16
Trades_loss_rate_percent,36.84
Trades_win_loss_ratio,1.71
